Country,Date,Confirmed,Deaths,Recovered,Recover Rate,Death Rate
Australia,43869,15,,2,0.133333333,0
Australia,43870,15,,2,0.133333333,0
Australia,43871,15,,2,0.133333333,0
Australia,43872,15,,2,0.133333333,0
Australia,43873,15,,2,0.133333333,0
Australia,43874,15,,8,0.533333333,0
Australia,43875,15,,8,0.533333333,0
Australia,43876,15,,8,0.533333333,0
Australia,43877,15,,8,0.533333333,0
Australia,43878,15,,10,0.666666667,0
Australia,43879,15,,10,0.666666667,0
Australia,43880,15,,10,0.666666667,0
Australia,43881,15,,10,0.666666667,0
Australia,43882,15,,11,0.733333333,0
Australia,43883,15,,11,0.733333333,0
Australia,43884,15,,11,0.733333333,0
Australia,43885,15,,11,0.733333333,0
Australia,43886,15,,11,0.733333333,0
Australia,43887,15,,11,0.733333333,0
Australia,43888,15,,11,0.733333333,0
Australia,43889,15,,11,0.733333333,0
Australia,43890,25,,11,0.44,0
Australia,43891,27,1,11,0.407407407,0.037037037
Australia,43892,30,1,11,0.366666667,0.033333333
Australia,43893,39,1,11,0.282051282,0.025641026
Australia,43894,52,2,11,0.211538462,0.038461538
Australia,43895,55,2,21,0.381818182,0.036363636
Australia,43896,60,2,21,0.35,0.033333333
Australia,43897,63,2,21,0.333333333,0.031746032
Australia,43898,76,3,21,0.276315789,0.039473684
Australia,43899,91,3,21,0.230769231,0.032967033
Australia,43900,107,3,21,0.196261682,0.028037383
Australia,43901,128,3,21,0.1640625,0.0234375
Australia,43902,128,3,21,0.1640625,0.0234375
Australia,43903,200,3,23,0.115,0.015
Australia,43904,250,3,23,0.092,0.012
Australia,43905,297,3,23,0.077441077,0.01010101
Australia,43906,377,3,23,0.061007958,0.00795756
Australia,43907,452,5,23,0.050884956,0.011061947
Australia,43908,568,6,23,0.040492958,0.01056338
Australia,43909,681,6,26,0.038179148,0.008810573
Australia,43910,791,7,26,0.032869785,0.008849558
Australia,43911,1071,7,26,0.024276377,0.006535948
Australia,43912,1549,7,88,0.056810846,0.004519045
Australia,43913,1682,7,88,0.052318668,0.004161712
Australia,43914,2044,8,115,0.056262231,0.003913894
Australia,43915,2364,8,119,0.050338409,0.003384095
Australia,43916,2810,13,172,0.061209964,0.004626335
Australia,43917,3143,13,194,0.061724467,0.004136176
Australia,43918,3640,14,244,0.067032967,0.003846154
Australia,43919,3984,16,244,0.06124498,0.004016064
Australia,43920,4361,17,257,0.058931438,0.003898188
Australia,43921,4559,18,358,0.078525993,0.003948234
Austria,43886,2,,,0,0
Austria,43887,2,,,0,0
Austria,43888,3,,,0,0
Austria,43889,3,,,0,0
Austria,43890,9,,,0,0
Austria,43891,14,,,0,0
Austria,43892,18,,,0,0
Austria,43893,21,,,0,0
Austria,43894,29,,,0,0
Austria,43895,41,,,0,0
Austria,43896,55,,,0,0
Austria,43897,79,,,0,0
Austria,43898,104,,,0,0
Austria,43899,131,,2,0.015267176,0
Austria,43900,182,,4,0.021978022,0
Austria,43901,246,,4,0.016260163,0
Austria,43902,302,1,4,0.013245033,0.003311258
Austria,43903,504,1,6,0.011904762,0.001984127
Austria,43904,655,1,6,0.009160305,0.001526718
Austria,43905,860,1,6,0.006976744,0.001162791
Austria,43906,1018,3,6,0.00589391,0.002946955
Austria,43907,1332,3,1,0.000750751,0.002252252
Austria,43908,1646,4,9,0.005467801,0.002430134
Austria,43909,2013,6,9,0.004470939,0.002980626
Austria,43910,2388,6,9,0.003768844,0.002512563
Austria,43911,2814,8,9,0.003198294,0.002842928
Austria,43912,3582,16,9,0.002512563,0.004466778
Austria,43913,4474,21,9,0.002011623,0.004693786
Austria,43914,5283,28,9,0.001703578,0.005300019
Austria,43915,5588,30,9,0.001610594,0.005368647
Austria,43916,6909,49,112,0.01621074,0.007092199
Austria,43917,7657,58,225,0.029384877,0.007574768
Austria,43918,8271,68,225,0.027203482,0.008221497
Austria,43919,8788,86,479,0.054506145,0.009786072
Austria,43920,9618,108,636,0.066126014,0.011228946
Austria,43921,10180,128,1095,0.107563851,0.012573674
Azerbaijan,43891,3,,,0,0
Azerbaijan,43892,3,,,0,0
Azerbaijan,43893,3,,,0,0
Azerbaijan,43894,3,,,0,0
Azerbaijan,43895,6,,,0,0
Azerbaijan,43896,6,,,0,0
Azerbaijan,43897,9,,,0,0
Azerbaijan,43898,9,,,0,0
Azerbaijan,43899,9,,,0,0
Azerbaijan,43900,11,,,0,0
Azerbaijan,43901,11,,3,0.272727273,0
Azerbaijan,43902,11,,3,0.272727273,0
Azerbaijan,43903,15,1,3,0.2,0.066666667
Azerbaijan,43904,15,1,3,0.2,0.066666667
Azerbaijan,43905,23,1,6,0.260869565,0.043478261
Azerbaijan,43906,28,1,6,0.214285714,0.035714286
Azerbaijan,43907,28,1,6,0.214285714,0.035714286
Azerbaijan,43908,28,1,6,0.214285714,0.035714286
Azerbaijan,43909,44,1,6,0.136363636,0.022727273
Azerbaijan,43910,44,1,6,0.136363636,0.022727273
Azerbaijan,43911,53,1,11,0.20754717,0.018867925
Azerbaijan,43912,65,1,10,0.153846154,0.015384615
Azerbaijan,43913,72,1,10,0.138888889,0.013888889
Azerbaijan,43914,87,1,10,0.114942529,0.011494253
Azerbaijan,43915,93,2,10,0.107526882,0.021505376
Azerbaijan,43916,122,3,15,0.12295082,0.024590164
Azerbaijan,43917,165,3,15,0.090909091,0.018181818
Azerbaijan,43918,182,4,15,0.082417582,0.021978022
Azerbaijan,43919,209,4,15,0.071770335,0.019138756
Azerbaijan,43920,273,4,26,0.095238095,0.014652015
Azerbaijan,43921,298,5,26,0.087248322,0.016778523
Bahamas,43906,1,,,0,0
Bahamas,43907,1,,,0,0
Bahamas,43908,1,,,0,0
Bahamas,43909,3,,,0,0
Bahamas,43910,3,,,0,0
Bahamas,43911,4,,,0,0
Bahamas,43912,4,,,0,0
Bahamas,43913,4,,,0,0
Bahamas,43914,5,,1,0.2,0
Bahamas,43915,5,,1,0.2,0
Bahamas,43916,9,,1,0.111111111,0
Bahamas,43917,10,,1,0.1,0
Bahamas,43918,10,,1,0.1,0
Bahamas,43919,11,,1,0.090909091,0
Bahamas,43920,14,,1,0.071428571,0
Bahamas,43921,14,,1,0.071428571,0
Bahrain,43885,1,,,0,0
Bahrain,43886,23,,,0,0
Bahrain,43887,33,,,0,0
Bahrain,43888,33,,,0,0
Bahrain,43889,36,,,0,0
Bahrain,43890,41,,,0,0
Bahrain,43891,47,,,0,0
Bahrain,43892,49,,,0,0
Bahrain,43893,49,,,0,0
Bahrain,43894,52,,,0,0
Bahrain,43895,55,,,0,0
Bahrain,43896,60,,4,0.066666667,0
Bahrain,43897,85,,4,0.047058824,0
Bahrain,43898,85,,4,0.047058824,0
Bahrain,43899,95,,14,0.147368421,0
Bahrain,43900,110,,22,0.2,0
Bahrain,43901,195,,35,0.179487179,0
Bahrain,43902,195,,35,0.179487179,0
Bahrain,43903,195,,44,0.225641026,0
Bahrain,43904,210,,44,0.20952381,0
Bahrain,43905,214,,60,0.280373832,0
Bahrain,43906,214,1,77,0.359813084,0.004672897
Bahrain,43907,228,1,81,0.355263158,0.004385965
Bahrain,43908,256,1,88,0.34375,0.00390625
Bahrain,43909,278,1,100,0.35971223,0.003597122
Bahrain,43910,285,1,100,0.350877193,0.003508772
Bahrain,43911,305,1,125,0.409836066,0.003278689
Bahrain,43912,334,2,149,0.446107784,0.005988024
Bahrain,43913,377,2,149,0.395225464,0.00530504
Bahrain,43914,392,3,177,0.451530612,0.007653061
Bahrain,43915,419,4,177,0.422434368,0.009546539
Bahrain,43916,458,4,204,0.445414847,0.008733624
Bahrain,43917,466,4,227,0.487124464,0.008583691
Bahrain,43918,476,4,265,0.556722689,0.008403361
Bahrain,43919,499,4,272,0.54509018,0.008016032
Bahrain,43920,515,4,279,0.541747573,0.00776699
Bahrain,43921,567,4,295,0.520282187,0.007054674
Bangladesh,43898,3,,,0,0
Bangladesh,43899,3,,,0,0
Bangladesh,43900,3,,,0,0
Bangladesh,43901,3,,,0,0
Bangladesh,43902,3,,,0,0
Bangladesh,43903,3,,,0,0
Bangladesh,43904,3,,,0,0
Bangladesh,43905,5,,,0,0
Bangladesh,43906,8,,2,0.25,0
Bangladesh,43907,10,,3,0.3,0
Bangladesh,43908,14,1,3,0.214285714,0.071428571
Bangladesh,43909,17,1,3,0.176470588,0.058823529
Bangladesh,43910,20,1,3,0.15,0.05
Bangladesh,43911,25,2,3,0.12,0.08
Bangladesh,43912,27,2,3,0.111111111,0.074074074
Bangladesh,43913,33,3,3,0.090909091,0.090909091
Bangladesh,43914,39,4,5,0.128205128,0.102564103
Bangladesh,43915,39,5,7,0.179487179,0.128205128
Bangladesh,43916,44,5,11,0.25,0.113636364
Bangladesh,43917,48,5,11,0.229166667,0.104166667
Bangladesh,43918,48,5,15,0.3125,0.104166667
Bangladesh,43919,48,5,15,0.3125,0.104166667
Bangladesh,43920,49,5,19,0.387755102,0.102040816
Bangladesh,43921,51,5,25,0.490196078,0.098039216
Barbados,43907,2,,,0,0
Barbados,43908,2,,,0,0
Barbados,43909,5,,,0,0
Barbados,43910,5,,,0,0
Barbados,43911,6,,,0,0
Barbados,43912,14,,,0,0
Barbados,43913,17,,,0,0
Barbados,43914,18,,,0,0
Barbados,43915,18,,,0,0
Barbados,43916,18,,,0,0
Barbados,43917,24,,,0,0
Barbados,43918,26,,,0,0
Barbados,43919,33,,,0,0
Barbados,43920,33,,,0,0
Barbados,43921,34,,,0,0
Belarus,43889,1,,,0,0
Belarus,43890,1,,,0,0
Belarus,43891,1,,,0,0
Belarus,43892,1,,,0,0
Belarus,43893,1,,,0,0
Belarus,43894,6,,,0,0
Belarus,43895,6,,,0,0
Belarus,43896,6,,,0,0
Belarus,43897,6,,,0,0
Belarus,43898,6,,,0,0
Belarus,43899,6,,1,0.166666667,0
Belarus,43900,9,,3,0.333333333,0
Belarus,43901,9,,3,0.333333333,0
Belarus,43902,12,,3,0.25,0
Belarus,43903,27,,3,0.111111111,0
Belarus,43904,27,,3,0.111111111,0
Belarus,43905,27,,3,0.111111111,0
Belarus,43906,36,,3,0.083333333,0
Belarus,43907,36,,3,0.083333333,0
Belarus,43908,51,,5,0.098039216,0
Belarus,43909,51,,5,0.098039216,0
Belarus,43910,69,,5,0.072463768,0
Belarus,43911,76,,15,0.197368421,0
Belarus,43912,76,,15,0.197368421,0
Belarus,43913,81,,15,0.185185185,0
Belarus,43914,81,,22,0.271604938,0
Belarus,43915,86,,29,0.337209302,0
Belarus,43916,86,,29,0.337209302,0
Belarus,43917,94,,32,0.340425532,0
Belarus,43918,94,,32,0.340425532,0
Belarus,43919,94,,32,0.340425532,0
Belarus,43920,152,,32,0.210526316,0
Belarus,43921,152,1,47,0.309210526,0.006578947
Belgium,43865,1,,,0,0
Belgium,43866,1,,,0,0
Belgium,43867,1,,,0,0
Belgium,43868,1,,,0,0
Belgium,43869,1,,,0,0
Belgium,43870,1,,,0,0
Belgium,43871,1,,,0,0
Belgium,43872,1,,,0,0
Belgium,43873,1,,,0,0
Belgium,43874,1,,,0,0
Belgium,43875,1,,,0,0
Belgium,43876,1,,,0,0
Belgium,43877,1,,,0,0
Belgium,43878,1,,1,1,0
Belgium,43879,1,,1,1,0
Belgium,43880,1,,1,1,0
Belgium,43881,1,,1,1,0
Belgium,43882,1,,1,1,0
Belgium,43883,1,,1,1,0
Belgium,43884,1,,1,1,0
Belgium,43885,1,,1,1,0
Belgium,43886,1,,1,1,0
Belgium,43887,1,,1,1,0
Belgium,43888,1,,1,1,0
Belgium,43889,1,,1,1,0
Belgium,43890,1,,1,1,0
Belgium,43891,2,,1,0.5,0
Belgium,43892,8,,1,0.125,0
Belgium,43893,13,,1,0.076923077,0
Belgium,43894,23,,1,0.043478261,0
Belgium,43895,50,,1,0.02,0
Belgium,43896,109,,1,0.009174312,0
Belgium,43897,169,,1,0.00591716,0
Belgium,43898,200,,1,0.005,0
Belgium,43899,239,,1,0.0041841,0
Belgium,43900,267,,1,0.003745318,0
Belgium,43901,314,3,1,0.003184713,0.00955414
Belgium,43902,314,3,1,0.003184713,0.00955414
Belgium,43903,559,3,1,0.001788909,0.005366726
Belgium,43904,689,4,1,0.001451379,0.005805515
Belgium,43905,886,4,1,0.001128668,0.004514673
Belgium,43906,1058,5,1,0.00094518,0.004725898
Belgium,43907,1243,10,1,0.000804505,0.008045052
Belgium,43908,1486,14,31,0.020861373,0.009421265
Belgium,43909,1795,21,31,0.017270195,0.011699164
Belgium,43910,2257,37,1,0.000443066,0.016393443
Belgium,43911,2815,67,263,0.093428064,0.023801066
Belgium,43912,3401,75,263,0.077330197,0.022052338
Belgium,43913,3743,88,263,0.070264494,0.023510553
Belgium,43914,4269,122,461,0.107987819,0.028578121
Belgium,43915,4937,178,547,0.11079603,0.036054284
Belgium,43916,6235,220,675,0.108259824,0.035284683
Belgium,43917,7284,289,858,0.117792422,0.039676002
Belgium,43918,9134,353,1063,0.116378367,0.038646814
Belgium,43919,10836,431,1359,0.125415282,0.039774825
Belgium,43920,11899,513,1527,0.128330112,0.043112867
