Country,Date,Confirmed,Deaths,Recovered,Recover_Rate,Death_Rate
Afghanistan,43919,120,4,2,0.016666667,0.033333333
Albania,43919,212,10,33,0.155660377,0.047169811
Algeria,43919,511,31,31,0.060665362,0.060665362
Andorra,43919,334,6,1,0.002994012,0.017964072
Angola,43919,7,2,,0,0.285714286
Antigua and Barbuda,43919,7,,,0,0
Argentina,43919,745,19,72,0.096644295,0.025503356
Armenia,43919,424,3,30,0.070754717,0.007075472
Australia,43919,3984,16,244,0.06124498,0.004016064
Austria,43919,8788,86,479,0.054506145,0.009786072
Azerbaijan,43919,209,4,15,0.071770335,0.019138756
Bahamas,43919,11,,1,0.090909091,0
Bahrain,43919,499,4,272,0.54509018,0.008016032
Bangladesh,43919,48,5,15,0.3125,0.104166667
Barbados,43919,33,,,0,0
Belarus,43919,94,,32,0.340425532,0
Belgium,43919,10836,431,1359,0.125415282,0.039774825
Belize,43919,2,,,0,0
Benin,43919,6,,,0,0
Bhutan,43919,4,,,0,0
Bolivia,43919,81,1,,0,0.012345679
Bosnia and Herzegovina,43919,323,6,8,0.024767802,0.018575851
Brazil,43919,4256,136,6,0.001409774,0.031954887
Brunei,43919,126,1,34,0.26984127,0.007936508
Bulgaria,43919,346,8,14,0.040462428,0.023121387
Burkina Faso,43919,222,12,23,0.103603604,0.054054054
Burma,43919,10,,,0,0
Cabo Verde,43919,6,1,,0,0.166666667
Cambodia,43919,103,,21,0.203883495,0
